Force X,Force Y,Force Z,Torque X,Torque Y,Torque Z,Time
0.15767352017422123,0.07507884272404992,-0.26013908064786495,0.007993849310111307,-0.007475426058591555,0.024360901588224803,0.0
0.12471653835406457,0.09687537944698583,-0.25780548887774385,0.007984021260360102,-0.008149796432182013,0.02688655752792032,0.01020408163265306
0.1110241806115595,0.08004110888700623,-0.228723136364445,0.007588082929337796,-0.013648760879066574,0.03131321799607006,0.02040816326530612
-0.03191803857462593,0.09043420284256502,-0.16054762963874553,0.010589477169443317,-0.024914699873853474,0.04159297639747757,0.030612244897959183
-0.3295323981550393,0.032273172205268826,-0.00010232383105655487,0.02384854754445098,-0.05800134540420472,0.07504445748547642,0.04081632653061224
-0.7260970413427893,-0.17525501747589337,0.18245413918340223,0.048783312957664096,-0.10183560697752073,0.11844134894560711,0.0510204081632653
-1.1373193231461711,-0.38148733889297887,0.37693406543105185,0.07741727997766122,-0.15398730611352127,0.16131983583238066,0.061224489795918366
-1.783003785710229,-0.7334255027630988,0.5441991757860998,0.12133400550574171,-0.2195294068033048,0.20681378773907869,0.07142857142857142
-2.4131476039895214,-1.035600679040966,0.6209518856668104,0.15490095136155171,-0.28692856399678635,0.25094705920830385,0.08163265306122448
-2.872586106713053,-1.2780767665956045,0.5209992517616294,0.1728982699687397,-0.326313614001525,0.27983660916969516,0.09183673469387754
-3.6625014326518257,-1.5152565744148192,0.4221195023235284,0.1990733679196204,-0.3944202297661445,0.28078639567393365,0.1020408163265306
-3.8275389904877497,-1.8402397410986735,0.2705613291801285,0.225429632963668,-0.4131559610221837,0.2730734665597692,0.11224489795918366
-3.091187223408032,-2.495735198607331,0.07911414806005762,0.2680256469031803,-0.3489936017422148,0.2413207184140373,0.12244897959183673
-2.899257053871474,-2.799006762542505,-0.2554128962896773,0.2849621817791681,-0.3243483507800163,0.19906177729460806,0.13265306122448978
-2.5992411203358188,-3.1004487185990395,-0.5307352675852836,0.29721595413485474,-0.28991342520740787,0.1619148546494237,0.14285714285714285
-2.0480539613931277,-3.544549756035178,-0.8474000016121844,0.3207022372480614,-0.2450144846489538,0.12424910000668063,0.1530612244897959
-1.618753784625438,-3.860986676532073,-0.9527045712489255,0.33665224547580286,-0.21648879295038367,0.10981329814572958,0.16326530612244897
-0.8533103296458396,-4.125306904667823,-0.9248394536514489,0.3528281153404909,-0.16356323349282834,0.10240486396024294,0.17346938775510204
-0.34965331980653075,-4.306512491904458,-1.0834638736780289,0.37251313704069916,-0.1268611175006718,0.10105573877532485,0.18367346938775508
-0.19624359604035,-4.219582793100853,-1.2523482774022847,0.3793301655906518,-0.10463668384374918,0.09060324449662943,0.19387755102040816
0.06670637297834386,-4.156838996223322,-1.2819736836731261,0.37919786310154985,-0.08559525041046051,0.08910994772693698,0.2040816326530612
-0.06140499173613711,-4.09171957927186,-1.2692718119590352,0.3768295129041524,-0.08067453480280339,0.07181453157827267,0.21428571428571427
-0.31215074984958396,-4.118912745303601,-1.323220437376355,0.38462779592421126,-0.10475957091684013,0.054096558121931614,0.22448979591836732
-0.6514765261639375,-4.304157033432557,-1.202735228599478,0.41112818814175006,-0.11973386428185559,0.053564524565882225,0.2346938775510204
